Diplomacy is Not an Option," 9 Feb, 2022",2243,"City Builder, Tower Defense, Strategy, Sandbox, Building, Survival, Base Building, RTS, Procedural Generation, Colorful, Stylized, Singleplayer, Combat, Medieval, 3D, Early Access, Action RTS, Indie, Violent, Action"
Frostpunk," 24 Apr, 2018",64245,"City Builder, Survival, Strategy, Resource Management, Post-apocalyptic, Steampunk, Colony Sim, Building, Base Building, Simulation, Singleplayer, Management, Choices Matter, Atmospheric, Economy, Dark, RTS, Difficult, Great Soundtrack, Real-Time with Pause"
Stormworks: Build and Rescue," 17 Sep, 2020",23659,"Sandbox, Flight, Open World, Building, Exploration, Programming, Sailing, Open World Survival Craft, Immersive Sim, Base Building, Survival, PvP, Character Customization, Tutorial, First-Person, Naval, Trains, Physics, Automation, Crafting"
Arma 3 Apex," 11 Jul, 2016",2229,"Simulation, Action, Military, Multiplayer, Strategy, Open World, FPS, Sandbox, Tactical, Realistic, Co-op, Shooter, Singleplayer, Survival, First-Person, Online Co-Op, Third-Person Shooter, Atmospheric, Walking Simulator, RPG"
Solasta: Crown of the Magister - Lost Valley," 14 Apr, 2022",12,"Adventure, RPG, Strategy, Team-Based, Fantasy, Indie, Tactical, Turn-Based Strategy, Story Rich, Class-Based, Singleplayer, Turn-Based Combat, CRPG, Character Customization, Choices Matter, Turn-Based Tactics, Dungeons & Dragons, Tactical RPG, Top-Down"
Dwarf Fortress, time is subjective,,"2D, Pixel Graphics, Singleplayer, Colony Sim, City Builder, Tactical RPG, Base Building, Sandbox, Management, Open World, Difficult, Procedural Generation, Survival, RPG, Strategy, Simulation, Fantasy, Resource Management, Moddable, Violent"
Eternal Return," 14 Oct, 2020",40104,"Free to Play, Anime, MOBA, Survival, Multiplayer, PvP, Top-Down, Strategy, Crafting, Combat, Tactical, Action, 3D, Indie, Character Customization, Experimental, Early Access, Point & Click, MMORPG, Horror"
Kenshi," 6 Dec, 2018",46183,"Open World, Sandbox, RPG, Survival, Strategy, Building, Post-apocalyptic, Crafting, Base Building, Singleplayer, City Builder, Indie, Simulation, Management, Adventure, RTS, Ninja, Alternate History, Character Customization, Steampunk"
,,,
Mortal Online 2," 25 Jan, 2022",5541,"MMORPG, Sandbox, Character Customization, PvP, Open World, Exploration, RPG, First-Person, Fantasy, Medieval, Swordplay, Magic, Crafting, Survival, Adventure, Old School, Combat, Massively Multiplayer, Multiplayer, Gore"
This War of Mine," 14 Nov, 2014",63107,"Survival, War, Atmospheric, Singleplayer, Strategy, Simulation, Choices Matter, Crafting, Base Building, Resource Management, Story Rich, Indie, Management, Emotional, Post-apocalyptic, Realistic, Drama, Psychological, Stealth, 2.5D"
Timberborn," 15 Sep, 2021",10510,"Early Access, City Builder, Colony Sim, Base Building, Survival, Building, Management, Resource Management, Automation, Economy, Sandbox, Singleplayer, Post-apocalyptic, Agriculture, Strategy, Level Editor, 3D, Science, Top-Down, Voxel"
